cytoband	11q23.3	1p36.12	19p13.3	13q14.11	8p23.2	6q21	3p21.31	17p12	10q23.31	14q24.3	16q23.3	9q22.33	12q24.33	12p13.1	11p15.5	17q25.3	1p21.3	4q35.1	10q26.13	7p22.2	11q13.1	16q11.2	7q36.1	17q12	2q37.1	6q27	15q22.2	22q13.31	5q21.1	9p21.3	2q14.3	8q24.3	12q23.3	22q11.22	21q22.3	
							C3orf62								MIR6744		LOC101926964	LOC101927636			OR5T1		SLC37A3	NAGS			USP50		LOC102467225		MIR4435-2HG		TMEM120B	MIR3928	MIR4760	
							TMEM110								MIR6124		ROR1-AS1	SMAD1-AS2			OR8K1		KRBA1	FAM134C			TEX9		LOC102467226		ANKRD30BL		WDR66	LARGE-AS1	MIR4759	
							PRSS45								LOC102724784		LINC01359	LOC101927849			OR5M9		FAM71F1	RHBDL3			IGHV1OR15-1		LINC01340		GCC2-AS1		GLT1D1	LL22NC01-81G9.3	MIR5692B	
							AMIGO3								HOTS		LOC101927139	LOC101928052			OR5M10		SLC35B4	SPPL2C			C15orf52		LOC102546228		GGT8P		TSPAN19	LOC100507657	LRRC3-AS1	
							ZNF662								BGLT3		DEPDC1-AS1	LOC101928131			OR5M1		TMEM209	KRT28			TNFAIP8L3		LOC102546229		ANKRD36BP2		E2F7	SEPT5-GP1BB	RNA45S5	
							CDHR4								CASC23		LOC101927244	LINC01179			OR9G1		TRIM4	KRT24			C2CD4B		LOC102723557		LOC646743		SOCS2-AS1	MIR4764	DIP2A-IT1	
							FAM212A								LINC01219		LINC01360	LINC01612			OR5AK2		OR6W1P	ARHGAP27			GOLGA8EP		CTD-2151A2.1		CYP4F62P		CEP83-AS1	MIR4761	TTC3-AS1	
							IQCF2								LOC105376554		ERICH3-AS1	LOC101928314			OR5B2		ADCK2	ZNF385C			OR4M2		ADAMTS19-AS1		ZNF806		CFAP54	LINC01311	BRWD1-AS1	
							IQCF5								SNORD131		LOC101927342	LOC101928509			OR5B12		PLXNA4	RDM1			OR4N3P		LINC01170		YY1P2		RAD9B	MIR5571	SAMSN1-AS1	
							MUSTN1										LOC101927412	LOC101928551			OR5AN1		ZC3HAV1L	GAS2L2			HERC2P10		LOC105379143		TRIM43B		FAM109A	POTEH-AS1	COL18A1-AS2	
							IQCF3										LOC101927434	LOC101928590			OR4D10		MYL10	STH			KBTBD13		LOC105379176		POTEI		LINC00934	ZNRF3-AS1	BACH1-IT2	
							LINC00960										LINC01361	LINC01099			OR4D9		MGAM2	HEATR9			UBAP1L		LOC105379183		CFC1B		KRT19P2	LOC100996335	DSCAM-IT1	
							MIRLET7G										LOC101927560	WWC2-AS1			OR10V1		ST7-AS1	KANSL1			SHC4		LOC105379192		RGPD3		TMTC2	LOC100996342	CYYR1-AS1	
							MIR135A1										LOC101927587	LINC01262			LRRC10B		ST7-AS2	C17orf105			CTXN2		LOC105379194		POTEJ		TMTC3	LOC100996415	LINC01436	
							MIR138-1										LOC101927844	LOC101929741			PCNX3		ST7-OT3	FAM171A2			HERC2P2		WSPAR		MZT2A		C12orf50	LOC100996432	MIR548XHG	
							MIR191										PKN2-AS1	LOC101929762			OR4C45		CADPS2	MEIOC			C15orf53		TRPC7-AS2		LOC654342		ALDH1L2	BMS1P17	LINC01425	
							MIR26A1										LINC01057	LOC101930370			SCGB1D4		CPA5	PIGW			C15orf54				FAM138B		SLC5A8	SPECC1L-ADORA2A	LOC101927843	
							FAM19A1										LOC101928098	DEAR			MIR130A		FOXP2	C17orf78			DUOXA2				PAX8-AS1		PPTC7	ISX-AS1	LOC101927869	
							EIF1B-AS1										LOC101928118	MIR7849			MIR192		CEP41	YWHAEP7			MIR190A				SNORD89		CCDC63	LOC101927859	LOC101927973	
							TMEM89										LOC101928241	MIR6082			MIR194-2		ZBED6CL	CISD3			MIR211				SNORD94		CCDC60	LOC101928891	LOC101928107	
							IQCF6										LOC101928270	LOC102723766			TRIM51HP		TSGA13	GSDMA			NF1P2				RGPD8		PGAM5	LOC101929350	LOC101928126	
							SMIM4										LOC101928370	LOC102724776			SLC22A20		AGAP3	KRT42P			GOLGA6L22				POTEF		RILPL2	LOC101929372	C21orf140	
							MIR425										LOC101928436	LINC01378			LOC441601		C7orf13	PTRF			HERC2P9				LINC01125		DNAH10	LOC101929374	LOC101928233	
							SNORA6										LOC101928476	SMAD1-AS1			OR5B3		OR9A4	KLHL10			WHAMMP2				PABPC1P2		PLBD2	LINC01422	LOC101928269	
							LIMD1-AS1										MIR6068	LINC01256			MS4A13		OR9A2	ASB16-AS1			GOLGA8B				RGPD4-AS1		FAM71C	HORMAD2-AS1	LOC101928311	
							SPINK8										MIR7852	LOC105377448			OR8U8		C7orf34	MSL1			EIF2AK4				ANKRD20A8P		RMST	PIK3IP1-AS1	LOC101928398	
							ARIH2OS										MIR7856	LOC105377458			BTBD18		TMEM139	KRT27			CATSPER2P1				FAHD2CP		CCER1	PCAT14	TCONS_00029157	
							C3orf84										MIR7156	LOC105377480			PGA3		NOBOX	SLFN14			UNC13C				RGPD6		SLC17A8	MIR6069	LOC101928435	
							SNORD19										LOC102606465	LVCAT8			PGA4		OR2A14	LRRC37A11P			MIR422A				RGPD2		TTC41P	MIR6816	TRPM2-AS	
							FAM86DP										LOC102723661	LOC105377590			LOC646813		OR6B1	STAC2			LINC00929				RFX8		LRRC43	MIR6819	LINC01424	
							SNORD69										LINC01461	LINC01596			SNORA57		OR2F2	CCL15-CCL14			CKMT1A				CCNT2-AS1		TCP11L2	MIR7109	LOC101928796	
							MIR564										LINC01397	LOC105377623			MIR611		ZNF786	KRT26			SERINC4				RAB6C-AS1		TBX5-AS1	MIR5739	LOC101930094	
							MIR566										LINC01307				MIR612		COL26A1	CCL4L1			C15orf62				CYP4F30P		LINC01619	MIR6817	LINC00945	
							GXYLT2										LOC105378828				MS4A18		PRSS37	C17orf98			GOLGA8N				LOC100133920		GLIPR1L1	MIR6818	MIR6070	
							LOC729083										LOC105378853				METTL12		KLF14	LINC00671			C15orf56				LOC100144595		POC1B	LOC102723769	MIR6501	
							FAM198A														UQCC3		SSMEM1	CCDC103			PHGR1				RNU4ATAC		OTOGL	LOC102723780	MIR6724-1	
							CCR2														TMEM262		SVOPL	RPRML			EIF3J-AS1				FAR2P2		LOC283352	MIATNB	MIR6814	
							ESRG														MIR1908		LRGUK	ARL5C			CHEK2P2				LIMS3-LOC440895		ADGRD1	LOC102725072	MIR6815	
							SNORD19B														MIR1237		ASB10	KRT39			LOC646214				ANAPC1P1		MORN3	LINC01399	MIR8069-1	
							LINC00696														MIR3162		PRSS58	C17orf102			CXADRP2				LOC100287010		GAS2L3	LOC105372977	MIR6130	
							ACVR2B-AS1														MIR3654		ASZ1	MIR152			PDCD6IPP2				SH3RF3-AS1		LINC00485	LOC105373006	MIR6508	
							SEMA3F-AS1														TMX2-CTNND1		MUC17	MIR193A			IGHV1OR15-3				LOC100288570		MYO1H	LOC105373021	LOC102723360	
							NRADDP														ARL2-SNX15		RNF32	TBC1D3B			REREP3				MIR1302-3		HECTD4	LINC01297	KCNE1B	
							ZNF717														HNRNPUL2-BSCL2		ASB15	TBC1D3C			GOLGA8S				ZEB2-AS1		KSR2	BMS1P22	SMIM11B	
							LOC100132146														MIR4489		BMT2	CCL3L3			GOLGA8J				MIR663B		GATC		LOC102724188	
							BSN-AS2														MIR4690		LOC154761	SUZ12P1			GOLGA8T				MIR4265		HNF1A-AS1		LOC102724219	
							PRSS46														MIR4488		CLEC2L	LOC440434			GOLGA8K				MIR3127		DDX51		LOC102724354	
							LINC00994														LOC100996455		FMC1	GPR179			GOLGA8M				MIR4267		MMAB		LOC102724428	
							FRG2C														LOC101927120		LINC00689	LRRC37A2			HSP90AB4P				MIR4266		HCAR2		LOC102724502	
							MIR1284														LOC101927204		FEZF1-AS1	FBXO47			MIR626				LOC100499194		LINC00936		U2AF1L5	
							MIR1324														LOC101927495		IQUB	ARGFXP2			MIR627				MIR3679		TMEM119		LOC102724652	
							MIR1226														OVOL1-AS1		C7orf77	DPRXP4			MIR628				LOC100506076		LOC338797		LINC01423	
							MIR2115														C11orf98		C7orf66	SNORA21			ANP32AP1				LOC100506123		LINC01089		LOC102724843	
							MIR711														MIR6128		TMEM213	LOC644172			GOLGA6L6				LOC100506286		C12orf74		BRWD1-IT2	
							MIR3136														MIR6503		GIMAP8	KANSL1-AS1			LOC727924				LINC01127		EP400NL		MIR6724-2	
							MIR4272														MIR6514		CRYGN	KRTAP4-11			GOLGA8O				LINC01158		RILPL1		MIR6724-3	
							MIR4271														MIR6746		ZNF425	MRPL45P2			GOLGA6L7P				LOC100507334		PTPRQ		LOC105372751	
							MIR4273														MIR6747		LOC155060	SNORD7			GOLGA8H				LOC100507600		C12orf42		LOC105372795	
							MIR3938														MIR6748		ZNF746	MIR632			PIN4P1				RNF103-CHMP3		IL31		LOC105372833	
							KRBOX1														MIR6751		ATP6V0E2	KRTAP4-8			OIP5-AS1				MIR4436B1		C12orf75		LOC105379511	
							KRBOX1-AS1														MIR6750		RBM33	KRTAP1-4			GOLGA8CP				MIR4772		CFAP73		LOC105379514	
							PRKAR2A-AS1														MIR6749		MGC27345	KRTAP2-2			PWRN1				MIR4779		TMEM233		FRGCA	
							IQCF4														MIR6879		GALNTL5	KRTAP9-1			PWRN2				MIR4783		KMT5A		SNORA91	
							PTPRG-AS1														MIR7155		RNF133	NSFP1			SNORD116-1				MIR4782		LINC00944		WRB-SH3BGR	
							PSMD6-AS2														LOC105369332		THAP5	TBC1D3			SNORD116-2				MIR4435-2		MKRN9P			
							ADAMTS9-AS2														LOC105369340		CCDC71L	TBC1D3H			SNORD116-3				MIR4771-1		C12orf76			
							ABHD14A-ACY1														MIR194-2HG		GIMAP7	KRTAP2-3			SNORD116-4				MIR4784		LINC00939			
							TMEM110-MUSTN1														KCNK4-TEX40		ZNF467	MIR365B			SNORD116-5				MIR4773-1		FLJ37505			
							MIR4793																BHLHA15	MAPT-AS1			SNORD116-8				MIR4436A		MIR135A2			
							MIR4787																ZNF800	MAPT-IT1			SNORD116-10				MIR4780		LOC414300			
							MIR4444-1																GIMAP1	LINC00910			SNORD116-11				MIR4435-1		LINC00615			
							MIR4443																PAXIP1-AS1	LOC100131347			SNORD116-12				MIR5696		PLEKHG7			
							PRICKLE2-AS1																C7orf33	KRTAP4-9			SNORD116-13				MIR548AU		LOC440117			
							RBM5-AS1																TRY2P	KRTAP4-7			SNORD116-14				MIR5590		FZD10-AS1			
							MIR5193																FABP5P3	MAP3K14-AS1			SNORD116-15				STEAP3-AS1		MIR331			
							SNRK-AS1																ZSCAN25	C17orf96			SNORD116-16				LOC101060091		EID3			
							MAGI1-AS1																FAM200A	RAMP2-AS1			SNORD116-17				LOC101927050		ATXN7L3B			
							ITIH4-AS1																PPP1R35	MIR1203			SNORD116-18				LOC101927053		CLLU1OS			
							VIPR1-AS1																GPC2	MIR2117			SNORD116-20				LOC101927070		CLLU1			
							SYNPR-AS1																LRWD1	MIR4315-2			SNORD116-21				LOC101927142		MIR492			
							THOC7-AS1																FAM185A	MIR2909			SNORD116-22				LOC101927331		MAP1LC3B2			
							ZNF197-AS1																FBXL13	MIR4315-1			SNORD116-23				LINC01103		LOC643339			
							GLYCTK-AS1																NAPEPLD	LINC00672			SNORD116-24				UTAT33		LOC643711			
							CCDC13-AS1																ATXN7L1	LRRC3C			SNORD116-25				DPP10-AS3		LOC643770			
							ARHGEF3-AS1																CDHR3	KRTAP9-7			SNORD115-2				LOC101927709		ANHX			
							CACNA2D3-AS1																TMEM130	KRTAP16-1			SNORD116-26				LOC101927881		SNORA49			
							PRICKLE2-AS2																NYAP1	LOC100505782			SNORD116-27				LOC101927924		SNORA53			
							PRICKLE2-AS3																CNPY4	ARL17B			SNORD115-3				LINC01087		MIR617			
							LARS2-AS1																POLR2J2	SP2-AS1			SNORD115-4				LOC101928161		MIR618			
							FCF1P2																UBN2	AA06			SNORD115-5				LOC101928185		MIR619			
							SUCLG2-AS1																MBLAC1	SLFN12L			SNORD115-6				DARS-AS1		MIR620			
							SAMMSON																TAS2R39	KRTAP9-6			SNORD115-7				LOC101928273		LOC728084			
							PDZRN3-AS1																TAS2R40	RAD51L3-RFFL			SNORD115-8				LOC101928371		C12orf73			
							LOC101927296																TAS2R41	KRTAP29-1			SNORD115-10				LOC101928386		LOC728739			
							ITGA9-AS1																CNPY1	LRRC37A8P			SNORD115-11				LOC101928403		TMPO-AS1			
							LOC101928323																LOC285889	MIR4728			SNORD115-12				LINC01412		LOC100128554			
							SEMA3B-AS1																WEE2-AS1	MIR4726			SNORD115-13				PGM5P3-AS1		LOC100130238			
							IQCF5-AS1																EPHA1-AS1	MIR4734			SNORD115-14				LOC101929231		LINC01405			
							LOC101929054																TCAF2	MIR4724			SNORD115-15				LOC101929260		USP30-AS1			
							LOC101929159																ZNF775	MIR4733			SNORD115-16				LOC101929282		PGAM1P5			
							C3orf67-AS1																LINC00996	MIR4727			SNORD115-17				LOC101929319		LOC100190940			
							ADAMTS9-AS1																ATG9B	MIR4725			SNORD115-18				LOC101929926		LINC00173			
							RASSF1-AS1																DLX6-AS1	MIR548AT			SNORD115-20				MIR7157		LOC100287944			
							MIR5787																ZNF789	MIR5010			SNORD115-21				LINC01159		ZNF605			
							MIR6823																SLC26A4-AS1	MIR5089			SNORD115-22				LOC102724691		MIR1252			
							MIR6824																LSMEM1	LINC00854			SNORD115-23				LINC01594		MIR1827			
							MIR6872																TPI1P2	PTGES3L			SNORD115-25				PGM5P4-AS1		MIR1302-1			
							MIR6890																FLJ40288	PTGES3L-AARSD1			SNORD115-26				GACAT1		MIR1178			
							MIR8064																MESTIT1	TBC1D3G			SNORD115-29				LOC105373496		MIR1251			
							MIR6822																ST7-OT4	TBC1D3K			SNORD115-30				LOC105373518		MIR4303			
							LOC102724231																TAS2R60	TBC1D3L			SNORD115-31				LOC105373519		MIR4304			
							LOC102724297																BLACE	LOC101060389			SNORD115-32				LOC105373553		MIR3685			
							CELSR3-AS1																CTAGE6	SNORD124			SNORD115-33				LOC105373562		MIR3612			
							MIR548BB																TSPAN33	RUNDC3A-AS1			SNORD115-34				LOC105373609		MIR3652			
							FOXP1-AS1																AGBL3	LINC01180			SNORD115-35				LOC105373635		MIR3922			
							LOC105377102																OR6V1	LOC101927239			SNORD115-36				LOC105373656		MIR3657			
							LOC105377105																OR2A12	RARA-AS1			SNORD115-37				LOC105373984		MIR3908			
							FAM3D-AS1																OR2A1	LOC101929767			SNORD115-38				SNORD132		LOC100505978			
							LOC105377143																MOGAT3	MIR378J			SNORD115-39				LINC01593		LINC01234			
							LOC105377146																FAM71F2	MIR6779			SNORD115-41						LOC100506551			
							LOC105377162																STRA8	MIR6781			SNORD115-44						PXN-AS1			
							ARF4-AS1																KLRG2	MIR6782			SNORD116-28						NRAV			
							SNORD136																WDR86	MIR6784			SNORD116-29						LOC100506691			
							SNORA94																GJC3	MIR6867			SNORD115-48						LRCOL1			
																							DPY19L2P2	MIR6780A			SNORD115-24						CLIP1-AS1			
																							LOC349160	MIR6510			SNORD115-27						LOC100507091			
																							GATS	MIR6783			SNORD115-28						LINC00943			
																							GSTK1	MIR6884			SNORD115-45						LOC100507377			
																							NAT16	MIR6866			SNORD115-47						POC1B-GALNT4			
																							SLC26A5	LOC102723471			MIR147B						ZNF664-FAM101A			
																							LHFPL3	TBC1D3E			LOC100128714						MIR4699			
																							KCP	THCAT158			GABPB1-AS1						MIR4498			
																							LINC-PINT	LOC102724532			LOC100129973						MIR4496			
																							RNF148	TBC1D3I			LOC100130111						MIR4495			
																							MGC72080	CRHR1-IT1-CRHR1			USP3-AS1						MIR4419B			
																							LAMTOR4	LOC105371730			SRP14-AS1						MIR4472-2			
																							FEZF1	LOC105371743			ANKRD63						MIR4700			
																							FAM180A	LOC105371766			LOC100131315						MIR4497			
																							LOC389602	LOC105371789			HERC2P7						MIR5188			
																							OR2A25	LOC105371795			GOLGA8F						MIR5700			
																							IQCA1L	SNORA90			DCAF13P3						MIR548AQ			
																							OR2A5	LOC107133515			GOLGA8DP						LINC00507			
																							C7orf76	LOC107546764			JMJD7						LOC100996671			
																							LINC00998	LOC107985033			PLA2G4B						LOC100996679			
																							POT1-AS1				POTEB2						ZNF891			
																							PRRT4				WHAMMP1						LOC101593348			
																							RAB19				LOC100288637						LOC101927415			
																							OR2A7				LOC100289656						LOC101927464			
																							OR2A20P				MIR1233-1						LOC101927592			
																							ATP6V0E2-AS1				MIR1272						LOC101927616			
																							LINC01000				MIR1266						LOC101927637			
																							KPNA7				MIR1268A						LOC101927694			
																							C7orf61				MIR1282						LOC101927735			
																							UFSP1				NDUFAF4P1						LINC01486			
																							MIR106B				MIR2116						TESC-AS1			
																							MIR129-1				LOC100419583						LOC101928416			
																							MIR153-2				LOC100422556						LINC01490			
																							MIR182				MIR3118-3						LOC101928449			
																							MIR183				MIR1233-2						LOC101928530			
																							MIR25				MIR3118-4						LOC101928597			
																							MIR29A				MIR3118-2						LOC101928617			
																							MIR29B1				MIR4310						LOC101928731			
																							MIR93				MIR3942						LOC101928937			
																							MIR96				INAFM2						LOC101929058			
																							LOC407835				RAD51-AS1						LOC101929084			
																							SPDYE3				DPH6-AS1						CASC18			
																							SPDYE2				SERF2-C15ORF63						LOC101929162			
																							AKR1B15				DYX1C1-CCPG1						MIR6760			
																							CTAGE15				MIR4509-1						MIR6761			
																							OR2A9P				MIR4509-2						MIR6762			
																							OR2A2				MIR4508						MIR6861			
																							EIF3IP1				MIR4510						MIR7107			
																							LMOD2				MIR4716						MIR7641-2			
																							MIR335				MIR4713						MIR7844			
																							ARHGEF35				MIR4511						MIR6763			
																							GIMAP6				MIR4712						MIR6880			
																							WEE2				MIR4715						MIR7106			
																							POLR2J3				TMCO5B						MIR8072			
																							MIR490				MYZAP						THRIL			
																							ZNF862				MIR5701-2						LINC01498			
																							MNX1-AS1				MIR5701-1						LOC102724663			
																							LHFPL3-AS1				SNORD116-30						LOC102724933			
																							AZGP1P1				SNORD115-46						LHX5-AS1			
																							C7orf73				LOC100996255						LINC00508			
																							TCAF2P1				POTEB						LOC105369860			
																							ACTR3C				RORA-AS2						LOC105369879			
																							MIR591				GOLGA8R						LOC105369891			
																							MIR592				LOC101927079						LOC105369893			
																							MIR593				LOC101928042						LOC105369911			
																							MIR595				LOC101928134						LOC105369920			
																							LHFPL3-AS2				LOC101928174						LOC105369921			
																							ARHGEF34P				LOC101928227						LOC105369945			
																							LOC728743				EHD4-AS1						KCCAT198			
																							SPDYE6				PLA2G4E-AS1						LOC105369980			
																							TMEM229A				LOC101928414						LOC105370014			
																							LUZP6				LINC01491						LOC105370016			
																							MIR671				PIGBOS1						LOC105370024			
																							HTR5A-AS1				LINC01413						LOC105370068			
																							CTAGE4				LIPC-AS1						CRAT8			
																							LINC01003				LOC101928725						XLOC_009911			
																							LOC100129148				RORA-AS1						LACAT8			
																							RPL19P12				PWRN3						LOC107161159			
																							PCOLCE-AS1				GABRG3-AS1									
																							LOC100130705				LOC101928907									
																							EFCAB10				LOC101928988									
																							LOC100130880				MIR6085									
																							WDR86-AS1				MIR7973-2									
																							PAXIP1-AS2				MIR8067									
																							JHDM1D-AS1				MIR7973-1									
																							NDUFB2-AS1				MIR8063									
																							UPK3BL				LOC102723344									
																							CTAGE8				POTEB3									
																							KMT2E-AS1				LOC102725022									
																							LINC01004				PWRN4									
																							RASA4B				LOC105370757									
																							SMKR1				LOC105370792									
																							MOXD2P				LOC105370802									
																							GS1-259H13.2				LOC105370829									
																							LOC100289561				LOC105370941									
																							ZNF783				LOC105370943									
																							MIR548O				BUB1B-PAK6									
																							MIR548F4													
																							SAP25													
																							MIR4285													
																							MTRNR2L6													
																							MIR3654													
																							MIR3609													
																							MIR3907													
																							MIR3666													
																							PRKAG2-AS1													
																							LOC100506136													
																							LOC100506302													
																							LINC01006													
																							DOCK4-AS1													
																							LINC01007													
																							LOC100506585													
																							LOC100506682													
																							LOC100506860													
																							MKLN1-AS													
																							LOC100506937													
																							TMEM178B													
																							LOC100507507													
																							ATP5J2-PTCD1													
																							GIMAP1-GIMAP5													
																							MIR4653													
																							MIR4468													
																							MIR4467													
																							MIR4658													
																							LOC100630923													
																							MIR5692C2													
																							MIR5707													
																							MIR5692A2													
																							MIR5692A1													
																							MIR5090													
																							CYP3A7-CYP3A51P													
																							LOC100996249													
																							LINC01510													
																							C7orf55-LUC7L2													
																							STAG3L5P													
																							PVRIG2P													
																							STAG3L5P-PVRIG2P-PILRB													
																							LOC101927550													
																							ZASP													
																							LOC101927746													
																							LOC101927870													
																							LOC101927914													
																							LOC101928012													
																							HRAT17													
																							LOC101928211													
																							LOC101928254													
																							LOC101928283													
																							LOC101928333													
																							OR2A1-AS1													
																							LOC101928605													
																							LOC101928700													
																							LOC101928782													
																							LOC101928807													
																							LOC101928861													
																							LOC101929998													
																							RNU6-7													
																							RNU6-8													
																							MIR6133													
																							MIR6509													
																							MIR6892													
																							MIR6132													
																							MIR6840													
																							MIR6875													
																							GHET1													
																							LOC102724094													
																							LINC01393													
																							LOC102724434													
																							LOC102724555													
																							RNU6-2													
																							LINC01287													
																							LINC01392													
																							LOC105375429													
																							LVCAT5													
																							LOC105375483													
																							LOC105375504													
																							LOC105375512													
																							LOC105375545													
																							LOC105375556													
																							LINC01022													
																							SCARNA28													
